"LCSC Part Number","Value","Reference","Footprint","Description","Qty"
"C14877","U1","ATmega328P-AU1","Footprint:ATMEGA328P","AVR 20MHz 23 TQFP-32(7x7) Microcontrollers RoHS","1"
"C38523","12pF","C1,C2","Footprint:CR_Generic","50V 12pF C0G ±5% 0603 Ceramic Capacitors RoHS","2"
"C14663","100nF","C3,C4,C7","Footprint:CR_Generic","50V 100nF X7R ±10% 0603 Ceramic Capacitors RoHS","3"
"C15849","1uF","C6","Footprint:CR_Generic","50V 1uF X5R ±10% 0603 Ceramic Capacitors RoHS","1"
"C916074","Green","D1","Footprint:LED_generic","20mA 50mcd 570nm~575nm Yellow Green 1.9V~2.4V 60mW 0603 LED Indication - Discrete RoHS","1"
"C965799","Red","D2","Footprint:LED_generic","20mA 225mcd op View Mount 620nm~630nm Red 2.3V 50mW 0603 LED Indication - Discrete RoHS","1"
"","~","J1,J2","Footprint:PinHeader_12","Pin header size 12","2"
"","~","J3","Footprint:PinHeader_6","Pin header size 6","1"
"C23138","330","R1","Footprint:CR_Generic","100mW 330Ω 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS","1"
"C98220","10K","R2,R3","Footprint:CR_Generic","100mW 10kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS","2"
"C231329","SW_Push","SW1","Footprint:SW_B3U1000P","12V 2.5mm Round Button 3mm SPST 50mA SMD,3x2.5mm Tactile Switches RoHS","1"
"C13738","~","Y1","Footprint:Crystal_YSX321SL","Crystal Oscillator 9pF SMD3225-4P Crystals RoHS","1"
